tweet_id,rating_numerator,name,dog_stage,year,month,month_year,day,retweet_count,favorite_count,jpg_url,dog_breed,dog_prediction_score
892420643555336193,13,Phineas,,2017,8,2017-08,1,7079,34143,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,Unknown,0.0
892177421306343426,13,Tilly,,2017,8,2017-08,1,5344,29619,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Chihuahua,0.323581
891815181378084864,12,Archie,,2017,7,2017-07,31,3514,22306,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Chihuahua,0.716012
891689557279858688,13,Darla,,2017,7,2017-07,30,7285,37319,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,Labrador_retriever,0.168086
891327558926688256,12,Franklin,,2017,7,2017-07,29,7822,35656,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,basset,0.555712
891087950875897856,13,None,,2017,7,2017-07,29,2629,17993,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,Chesapeake_Bay_retriever,0.425595
890971913173991426,13,Jax,,2017,7,2017-07,28,1685,10474,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Appenzeller,0.34170300000000003
890729181411237888,13,None,,2017,7,2017-07,28,15916,57404,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,Pomeranian,0.566142
890609185150312448,13,Zoey,,2017,7,2017-07,27,3657,24775,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Irish_terrier,0.487574
890240255349198849,14,Cassie,doggo,2017,7,2017-07,26,6154,28249,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke,0.511319
890006608113172480,13,Koda,,2017,7,2017-07,26,6205,27296,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,Samoyed,0.957979
889880896479866881,13,Bruno,,2017,7,2017-07,25,4209,24836,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,French_bulldog,0.377417
889665388333682689,13,None,puppo,2017,7,2017-07,25,8429,42476,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,Pembroke,0.966327
889638837579907072,12,Ted,,2017,7,2017-07,25,3752,23895,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,French_bulldog,0.99165
889531135344209921,13,Stuart,puppo,2017,7,2017-07,24,1895,13482,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,golden_retriever,0.953442
889278841981685760,13,Oliver,,2017,7,2017-07,24,4484,22333,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,whippet,0.626152
888917238123831296,12,Jim,,2017,7,2017-07,23,3798,25898,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,golden_retriever,0.714719
888804989199671297,13,Zeke,,2017,7,2017-07,22,3577,22695,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,golden_retriever,0.46976
888554962724278272,13,Ralphus,,2017,7,2017-07,22,2904,17509,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,Siberian_husky,0.700377
888078434458587136,12,Gerald,,2017,7,2017-07,20,2929,19354,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,French_bulldog,0.995026
887705289381826560,13,Jeffrey,,2017,7,2017-07,19,4571,26892,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,basset,0.821664
887517139158093824,14,such,,2017,7,2017-07,19,9933,41151,https://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg,Unknown,0.0
887473957103951883,13,Canela,,2017,7,2017-07,19,15169,60776,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,Pembroke,0.809197
887343217045368832,13,None,,2017,7,2017-07,18,8899,29887,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,Mexican_hairless,0.330741
887101392804085760,12,None,,2017,7,2017-07,18,5032,27244,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,Samoyed,0.733942
886983233522544640,13,Maya,,2017,7,2017-07,17,6389,30706,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,Chihuahua,0.793469
886736880519319552,13,Mingus,,2017,7,2017-07,16,2657,10597,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,kuvasz,0.309706
886680336477933568,13,Derek,,2017,7,2017-07,16,3767,19939,https://pbs.twimg.com/media/DE4fEDzWAAAyHMM.jpg,Unknown,0.0
